timestamp,device_id,temp_c,motion,battery,data_quality_status
2026-07-12 14:50:00,SN-9982,28.3,false,88.0,Clean
2026-07-12 14:50:00,SN-9983,28.2,true,94.0,Clean
2026-07-12 14:50:00,SN-9984,29.7,true,76.0,Clean
2026-07-12 14:50:00,SN-9985,27.8,true,81.0,Clean
2026-07-12 14:50:00,SN-9986,30.7,true,69.0,Clean
2026-07-12 14:50:10,SN-9982,28.4,true,88.0,Clean
2026-07-12 14:50:10,SN-9983,28.1,true,94.0,Clean
2026-07-12 14:50:10,SN-9984,29.6,true,76.0,Clean
2026-07-12 14:50:10,SN-9985,27.7,false,81.0,Clean
2026-07-12 14:50:10,SN-9986,31.0,false,69.0,Clean
2026-07-12 14:50:20,SN-9982,28.7,true,88.0,Clean
2026-07-12 14:50:20,SN-9983,28.0,false,94.0,Clean
2026-07-12 14:50:20,SN-9984,29.6,false,76.0,Clean
2026-07-12 14:50:20,SN-9985,27.6,true,81.0,Clean
2026-07-12 14:50:20,SN-9986,31.1,false,69.0,Clean
2026-07-12 14:50:30,SN-9982,28.4,true,88.0,Clean
2026-07-12 14:50:30,SN-9983,28.1,true,94.0,Clean
2026-07-12 14:50:30,SN-9984,29.8,true,76.0,Clean
2026-07-12 14:50:30,SN-9985,27.6,false,81.0,Clean
2026-07-12 14:50:30,SN-9986,31.0,true,69.0,Clean
2026-07-12 14:50:40,SN-9982,28.5,false,88.0,Clean
2026-07-12 14:50:40,SN-9983,28.3,false,94.0,Clean
2026-07-12 14:50:40,SN-9984,30.0,true,76.0,Clean
2026-07-12 14:50:40,SN-9985,27.7,true,81.0,Clean
2026-07-12 14:50:40,SN-9986,31.1,false,69.0,Clean
2026-07-12 14:50:50,SN-9982,28.8,true,88.0,Clean
2026-07-12 14:50:50,SN-9983,28.4,false,94.0,Clean
2026-07-12 14:50:50,SN-9984,30.1,true,76.0,Clean
2026-07-12 14:50:50,SN-9985,28.0,true,81.0,Clean
2026-07-12 14:50:50,SN-9986,31.0,true,69.0,Clean
2026-07-12 14:51:00,SN-9982,28.7,false,88.0,Clean
2026-07-12 14:51:00,SN-9983,28.5,true,94.0,Clean
2026-07-12 14:51:00,SN-9984,29.9,false,76.0,Clean
2026-07-12 14:51:00,SN-9985,27.7,true,81.0,Clean
2026-07-12 14:51:00,SN-9986,31.0,false,69.0,Clean
2026-07-12 14:51:10,SN-9982,28.9,true,88.0,Clean
2026-07-12 14:51:10,SN-9983,28.4,true,94.0,Clean
2026-07-12 14:51:10,SN-9984,29.9,false,76.0,Clean
2026-07-12 14:51:10,SN-9985,27.6,false,81.0,Clean
2026-07-12 14:51:10,SN-9986,30.7,false,69.0,Clean
2026-07-12 14:51:20,SN-9982,28.8,true,88.0,Clean
2026-07-12 14:51:20,SN-9983,28.3,true,,Warning: Missing or Outlier Data
2026-07-12 14:51:20,SN-9984,29.7,true,76.0,Clean
2026-07-12 14:51:20,SN-9985,27.8,true,81.0,Clean
2026-07-12 14:51:20,SN-9986,30.6,true,69.0,Clean
2026-07-12 14:51:30,SN-9982,28.8,false,88.0,Clean
2026-07-12 14:51:30,SN-9983,28.7,true,94.0,Clean
2026-07-12 14:51:30,SN-9984,29.8,true,76.0,Clean
2026-07-12 14:51:30,SN-9985,27.7,true,81.0,Clean
2026-07-12 14:51:30,SN-9986,31.0,false,69.0,Clean
2026-07-12 14:51:40,SN-9982,29.1,true,88.0,Clean
2026-07-12 14:51:40,SN-9983,28.8,true,94.0,Clean
2026-07-12 14:51:40,SN-9984,30.1,true,76.0,Clean
2026-07-12 14:51:40,SN-9985,27.6,false,81.0,Clean
2026-07-12 14:51:40,SN-9986,30.6,false,69.0,Clean
2026-07-12 14:51:50,SN-9982,29.3,0,88.0,Clean
2026-07-12 14:51:50,SN-9983,28.8,true,94.0,Clean
2026-07-12 14:51:50,SN-9984,30.0,true,76.0,Clean
2026-07-12 14:51:50,SN-9985,27.9,false,81.0,Clean
2026-07-12 14:51:50,SN-9986,30.9,false,69.0,Clean
2026-07-12 14:52:00,SN-9982,29.0,true,88.0,Clean
2026-07-12 14:52:00,SN-9983,28.6,true,94.0,Clean
2026-07-12 14:52:00,SN-9984,30.2,true,76.0,Clean
2026-07-12 14:52:00,SN-9985,27.6,false,81.0,Clean
2026-07-12 14:52:00,SN-9986,30.6,true,69.0,Clean
2026-07-12 14:52:10,SN-9982,29.4,true,88.0,Clean
2026-07-12 14:52:10,SN-9983,28.6,false,94.0,Clean
2026-07-12 14:52:10,SN-9984,29.8,false,76.0,Clean
2026-07-12 14:52:10,SN-9985,27.8,true,81.0,Clean
2026-07-12 14:52:10,SN-9986,30.5,true,69.0,Clean
2026-07-12 14:52:20,SN-9982,29.2,false,88.0,Clean
2026-07-12 14:52:20,SN-9983,28.5,true,94.0,Clean
2026-07-12 14:52:20,SN-9984,30.1,false,76.0,Clean
2026-07-12 14:52:20,SN-9985,27.6,false,81.0,Clean
2026-07-12 14:52:20,SN-9986,30.3,false,69.0,Clean
2026-07-12 14:52:30,SN-9982,29.0,true,88.0,Clean
2026-07-12 14:52:30,SN-9983,28.9,true,94.0,Clean
2026-07-12 14:52:30,SN-9984,29.8,true,76.0,Clean
2026-07-12 14:52:30,SN-9985,27.6,true,81.0,Clean
2026-07-12 14:52:30,SN-9986,30.3,false,69.0,Clean
2026-07-12 14:52:40,SN-9982,29.1,false,88.0,Clean
2026-07-12 14:52:40,SN-9983,,true,94.0,Warning: Missing or Outlier Data
2026-07-12 14:52:40,SN-9984,30.1,false,76.0,Clean
2026-07-12 14:52:40,SN-9985,27.7,true,81.0,Clean
2026-07-12 14:52:40,SN-9986,30.4,false,69.0,Clean
2026-07-12 14:52:50,SN-9982,29.3,true,88.0,Clean
2026-07-12 14:52:50,SN-9983,28.7,true,94.0,Clean
